Country,Year,Investments,Taxes
Czechia,2009,946.91,3427.58
Czechia,2010,1079.65,3577.44
Czechia,2011,1037.93,3846.2
Czechia,2012,1069.15,3606.43
Czechia,2013,1028.81,3331.14
Czechia,2014,1005.65,3346.96
Czechia,2015,1127.8,3477.33
Czechia,2016,953.62,3728.38
Czechia,2017,976.58,3896.98
Czechia,2018,1237.81,4129.14
Czechia,2019,1286.38,4594.86
Czechia,2020,1321.4,4148.06
Czechia,2021,1326.5,4373.44
Czechia,2022,1291.58,4024.46
Czechia,2023,1324.88,
Denmark,2008,4142.73,10077.1
Denmark,2009,4066.62,9236.06
Denmark,2010,4304.94,9768.83
Denmark,2011,4472.86,9957.39
Denmark,2012,4867.55,10098.51
Denmark,2013,5286.85,10712.56
Denmark,2014,4903.5,10621.56
Denmark,2015,4239.64,10847.35
Denmark,2016,4912.58,11065.36
Denmark,2017,5661.3,10808.26
Denmark,2018,6712.47,10933.41
Denmark,2019,4572.15,10221.3
Denmark,2020,4536.82,9889.11
Denmark,2021,4742.77,9690.98
Denmark,2022,5225.21,8992.54
Denmark,2023,5485.28,
Estonia,2008,130.0,382.47
Estonia,2009,146.33,415.94
Estonia,2010,135.59,431.6
Estonia,2011,124.52,454.26
Estonia,2012,229.2,489.06
Estonia,2013,163.42,484.64
Estonia,2014,168.05,533.05
Estonia,2015,168.11,562.85
Estonia,2016,159.7,645.18
Estonia,2017,162.58,680.74
Estonia,2018,197.78,708.93
Estonia,2019,202.4,889.54
Estonia,2020,293.87,657.01
Estonia,2021,294.32,723.53
Estonia,2022,244.87,829.54
Estonia,2023,229.75,
Finland,2008,915.16,5031.43
Finland,2009,779.92,4586.8
Finland,2010,614.89,4997.11
Finland,2011,1083.84,5946.09
Finland,2012,992.81,5951.19
Finland,2013,887.08,6002.2
Finland,2014,1094.57,5966.89
Finland,2015,1339.27,6087.6
Finland,2016,1565.6,6668.16
Finland,2017,1490.74,6721.73
Finland,2018,1476.86,6916.02
Finland,2019,1314.39,6856.66
Finland,2020,1495.89,6549.06
Finland,2021,2022.17,6420.38
Finland,2022,1877.29,6560.91
Finland,2023,1983.73,
France,2008,9530.47,36720.99
France,2009,9960.24,36281
France,2010,11866.61,37308.0
France,2011,11115.63,39319.76
France,2012,11606.06,40605.0
France,2013,10661.61,42496.79
France,2014,10074.34,43399.01
France,2015,11595.12,47160.99
France,2016,15393.51,49788.0
France,2017,15168.65,52723.0
France,2018,16634.33,55653.39
France,2019,21103.79,56032.2
France,2020,17711.83,49936.91
France,2021,23482.15,54711
France,2022,22906.99,53717
France,2023,23979.25,
Germany,2008,8326.84,56007.65
Germany,2009,6466.68,55057.82
Germany,2010,6800.3,55220.95
Germany,2011,6337.25,58474.65
Germany,2012,8977.44,58385.2
Germany,2013,8778.2,58140.76
Germany,2014,10395.61,58161.21
Germany,2015,11883.09,58369.37
Germany,2016,10730.45,58268.22
Germany,2017,13793.44,59859.92
Germany,2018,14796.73,60971.11
Germany,2019,17156.38,61445.69
Germany,2020,17673.31,57661.64
Germany,2021,18969.41,68238.33
Germany,2022,19696.26,66721.2
Germany,2023,21655.55,
Greece,2008,1263.54,4972
Greece,2009,1519.84,4944
Greece,2010,422.05,5978.0
Greece,2011,300.32,6017.0
Greece,2012,262.75,6938.0
Greece,2013,376.07,7240.0
Greece,2014,292.48,7270.0
Greece,2015,365.64,7401.0
Greece,2016,422.46,7281.0
Greece,2017,264.73,7759.0
Greece,2018,244.55,7402.0
Greece,2019,307.3,7696.0
Greece,2020,534.81,6818
Greece,2021,540.58,7701
Greece,2022,390.89,11578
Greece,2023,389.83,
Hungary,2008,637.09,2904.57
Hungary,2009,629.59,2473.49
Hungary,2010,720.61,2713.37
Hungary,2011,574.39,2690.37
Hungary,2012,499.35,2620.17
Hungary,2013,656.4,2563.16
Hungary,2014,898.36,2632.64
Hungary,2015,843.8,2859.74
Hungary,2016,683.83,3046.88
Hungary,2017,737.86,4977.72
Hungary,2018,1148.77,3213.03
Hungary,2019,1664.37,3291.23
Hungary,2020,2116.78,3235.94
Hungary,2021,1664.07,3367.57
Hungary,2022,1836.66,3102.62
Hungary,2023,1844.0,
Iceland,2008,,221.94
Iceland,2009,,171.58
Iceland,2010,,223.28
Iceland,2011,,237.97
Iceland,2012,,261.3
Iceland,2013,,258.21
Iceland,2014,,285.6
Iceland,2015,,336.65
Iceland,2016,,384.9
Iceland,2017,,481.74
Iceland,2018,,470.14
Iceland,2019,,435.46
Ireland,2008,296.02,4314.54
Ireland,2009,210.52,3846.83
Ireland,2010,179.41,4103.86
Ireland,2011,223.16,4204.1
Ireland,2012,335.62,4173.44
Ireland,2013,321.54,4444.87
Ireland,2014,283.93,4683.91
Ireland,2015,442.19,4977.24
Ireland,2016,318.52,5117.49
Ireland,2017,325.71,5232.37
Ireland,2018,374.92,5119.3
Ireland,2019,441.35,5020.67
Ireland,2020,394.79,4487.12
Ireland,2021,469.35,4951.19
Ireland,2022,453.83,4394.92
Ireland,2023,474.62,
Italy,2008,6631.35,41857
Italy,2009,7557.91,43875
Italy,2010,7586.99,44751.0
Italy,2011,5700.89,49888.0
Italy,2012,4293.05,56251.0
Italy,2013,4248.43,55257.0
Italy,2014,5999.48,58070.0
Italy,2015,5665.36,56144.0
Italy,2016,4955.53,59481.0
Italy,2017,4541.35,58000.0
Italy,2018,5577.91,58575.0
Italy,2019,5570.96,58299.0
Italy,2020,5522.23,50777
Italy,2021,7109.31,54907
Italy,2022,4891.67,44963
Italy,2023,5506.99,
Latvia,2008,438.96,506.89
Latvia,2009,285.25,498.81
Latvia,2010,229.38,530.64
Latvia,2011,347.95,604.8
Latvia,2012,443.27,660.54
Latvia,2013,352.87,723.45
Latvia,2014,337.88,802.84
Latvia,2015,402.66,864.21
Latvia,2016,346.01,918.95
Latvia,2017,460.58,947.69
Latvia,2018,409.2,996.48
Latvia,2019,382.76,940.03
Latvia,2020,415.16,948.17
Latvia,2021,364.21,958.48
Latvia,2022,485.05,867.29
Latvia,2023,457.43,
Liechtenstein,2008,,21.27
Liechtenstein,2009,,22.78
Liechtenstein,2010,,26.21
Liechtenstein,2011,,30.29
Liechtenstein,2012,,29.69
Liechtenstein,2013,,28.38
Liechtenstein,2014,,33.05
Liechtenstein,2015,,37.27
Liechtenstein,2016,,36.29
Liechtenstein,2017,,36.23
Liechtenstein,2018,,33.22
Liechtenstein,2019,,37.67
Liechtenstein,2020,,36.22
Liechtenstein,2021,,36.84
Lithuania,2008,524.46,533.52
Lithuania,2009,397.49,542.78
Lithuania,2010,400.17,512.22
Lithuania,2011,389.21,527.68
Lithuania,2012,450.22,548.13
Lithuania,2013,615.53,587.26
Lithuania,2014,582.9,633.88
Lithuania,2015,672.53,691.52
Lithuania,2016,626.48,747.92
Lithuania,2017,658.0,807.39
Lithuania,2018,771.15,899.71
Lithuania,2019,1007.31,921.34
Lithuania,2020,695.3,968.58
Lithuania,2021,809.31,1038.91
Lithuania,2022,900.76,1024.04
Lithuania,2023,1088.13,
Luxembourg,2008,1123.56,986.26
Luxembourg,2009,912.32,931.55
Luxembourg,2010,212.65,958.45
Luxembourg,2011,245.77,1018.62
Luxembourg,2012,160.78,1038.85
Luxembourg,2013,180.66,1008.94
Luxembourg,2014,238.76,980.41
Luxembourg,2015,240.56,955.39
Luxembourg,2016,130.92,934.14
Luxembourg,2017,117.44,953.63
Luxembourg,2018,128.22,1029.31
Luxembourg,2019,196.19,1088.42
Luxembourg,2020,113.92,891.33
Luxembourg,2021,144.06,1058.1
Luxembourg,2022,149.03,949.94
Luxembourg,2023,157.16,
Malta,2008,4.47,199.67
Malta,2009,3.53,193.77
Malta,2010,7.22,190.48
Malta,2011,10.78,211.12
Malta,2012,17.39,205.27
Malta,2013,20.36,204.84
Malta,2014,27.64,240.65
Malta,2015,39.19,266.33
Malta,2016,55.39,278.92
Malta,2017,58.82,303.52
Malta,2018,58.24,318.72
Malta,2019,58.37,347.81
Malta,2020,55.79,295
Malta,2021,58.06,276.58
Malta,2022,66.87,287.15
Malta,2023,73.99,
Netherlands,2008,2314.82,22233
Netherlands,2009,1883.17,21672
Netherlands,2010,2137.92,22310.0
Netherlands,2011,2416.19,22186.0
Netherlands,2012,2802.03,21178.0
Netherlands,2013,2647.63,21564.0
Netherlands,2014,2100.1,22216.0
Netherlands,2015,2209.91,22925.0
Netherlands,2016,2300.61,23754.0
Netherlands,2017,2170.65,24635.0
Netherlands,2018,1982.04,25877.0
Netherlands,2019,2534.17,27570.0
Netherlands,2020,2744.18,25366
Netherlands,2021,3416.72,26526
Netherlands,2022,3450.38,22756
Netherlands,2023,2917.74,
North Macedonia,2010,,194.34
North Macedonia,2011,,178.55
North Macedonia,2012,,190.33
North Macedonia,2013,,127.85
North Macedonia,2014,,178.14
North Macedonia,2015,,206.59
North Macedonia,2016,,226.05
North Macedonia,2017,,232.74
North Macedonia,2018,,264.51
North Macedonia,2019,,205.77
North Macedonia,2020,,255.49
North Macedonia,2021,,288.37
North Macedonia,2022,,266.15
Norway,2008,,8111.56
Norway,2009,,7318.57
Norway,2010,,8595.75
Norway,2011,,8916.01
Norway,2012,,9265.83
Norway,2013,,9323.02
Norway,2014,,8751.68
Norway,2015,,8186.4
Norway,2016,,8044.15
Norway,2017,,8123.51
Norway,2018,,8106.28
Norway,2019,,7632.95
Norway,2020,,6450.46
Norway,2021,,7336.3
Norway,2022,,7684.46
Poland,2008,2800.29,10215.83
Poland,2009,1793.87,8448.56
Poland,2010,1481.74,9831.03
Poland,2011,2157.39,10002.18
Poland,2012,1975.9,10055.44
Poland,2013,2103.02,9503.28
Poland,2014,2951.48,10562.09
Poland,2015,3579.73,11401.73
Poland,2016,2053.82,11556.89
Poland,2017,2187.9,12512.09
Poland,2018,2830.67,13474.36
Poland,2019,3849.89,13545.46
Poland,2020,3178.15,13330.02
Poland,2021,3096.2,16589.85
Poland,2022,3695.59,18321.85
Poland,2023,3674.72,
Portugal,2008,1566.65,4483.84
Portugal,2009,1258.63,4275.67
Portugal,2010,1236.11,4361.59
Portugal,2011,1026.56,4084.03
Portugal,2012,692.53,3681.58
Portugal,2013,825.16,3757.66
Portugal,2014,957.44,3932.13
Portugal,2015,718.59,4344.47
Portugal,2016,729.53,4819.31
Portugal,2017,544.79,5051.86
Portugal,2018,804.11,5271.9
Portugal,2019,795.91,5418.14
Portugal,2020,853.52,4728.8
Portugal,2021,1185.81,5025.66
Portugal,2022,699.42,4647.02
Portugal,2023,675.38,
Romania,2008,2399.08,2487.02
Romania,2009,1748.03,2245.01
Romania,2010,1356.57,2650.8
Romania,2011,1432.36,2573.54
Romania,2012,1663.75,2667.42
Romania,2013,2127.4,2957.37
Romania,2014,2231.29,3587.48
Romania,2015,2376.64,3951.96
Romania,2016,2032.25,4085.39
Romania,2017,1373.63,3640.25
Romania,2018,1579.47,4033.41
Romania,2019,1740.02,4731.71
Romania,2020,1555.06,4196.21
Romania,2021,1996.89,4729.78
Romania,2022,1715.16,4526.68
Romania,2023,1679.08,
Serbia,2008,,902.78
Serbia,2009,,998.25
Serbia,2010,,991.41
Serbia,2011,,1088.96
Serbia,2012,,981.74
Serbia,2013,,1146.29
Serbia,2014,,1302.44
Serbia,2015,,1384.87
Serbia,2016,,1516.05
Serbia,2017,,1614.57
Serbia,2018,,1791.01
Serbia,2019,,1898.27
Serbia,2020,,1853.16
Serbia,2021,,2074.73
Slovakia,2008,431.16,1363.74
Slovakia,2009,442.16,1264
Slovakia,2010,492.0,1419.64
Slovakia,2011,448.59,1726.98
Slovakia,2012,466.18,1743.9
Slovakia,2013,473.45,1872.7
Slovakia,2014,481.44,1932.3
Slovakia,2015,453.08,1997.55
Slovakia,2016,442.64,2019.35
Slovakia,2017,433.05,2149.02
Slovakia,2018,392.06,2226.2
Slovakia,2019,522.6,2361.53
Slovakia,2020,509.68,2294.29
Slovakia,2021,409.01,2382.69
Slovakia,2022,467.48,2186.6
Slovakia,2023,507.75,
Slovenia,2008,394.4,1119.76
Slovenia,2009,386.45,1260.04
Slovenia,2010,347.14,1310.45
Slovenia,2011,373.85,1276.32
Slovenia,2012,294.34,1389.03
Slovenia,2013,375.37,1427.96
Slovenia,2014,343.4,1452.67
Slovenia,2015,188.41,1509.4
Slovenia,2016,214.77,1568.63
Slovenia,2017,231.84,1578.31
Slovenia,2018,257.51,1559.62
Slovenia,2019,281.31,1795.74
Slovenia,2020,271.48,1538.68
Slovenia,2021,276.27,1632.65
Slovenia,2022,224.16,1634.63
Slovenia,2023,234.08,
Spain,2008,7791.25,18179
Spain,2009,6899.79,17335
Spain,2010,6551.49,17672.0
Spain,2011,4744.69,16866.0
Spain,2012,3679.21,16325.0
Spain,2013,3078.91,19611.0
Spain,2014,2912.96,19344.0
Spain,2015,3176.4,20821.0
Spain,2016,3674.99,20792.96
Spain,2017,3742.55,21371.04
Spain,2018,4156.13,22075.0
Spain,2019,4232.97,22018.0
Spain,2020,4278.8,19600
Spain,2021,5150.44,21203
Spain,2022,3334.59,20529
Spain,2023,3310.68,
Sweden,2008,3909.35,8976.72
Sweden,2009,3321.92,8245.99
Sweden,2010,3641.75,9452.99
Sweden,2011,3872.92,9618.82
Sweden,2012,4338.66,9939.57
Sweden,2013,4316.22,9971.1
Sweden,2014,4291.83,9277.79
Sweden,2015,4769.93,9558.77
Sweden,2016,3531.15,9981.52
Sweden,2017,3867.24,9864.25
Sweden,2018,4276.98,9262.01
Sweden,2019,5230.27,9272.7
Sweden,2020,6077.65,9363.46
Sweden,2021,7092.01,7585.5
Sweden,2022,6170.87,6940.46
Sweden,2023,6258.88,
Switzerland,2008,,5148.72
Switzerland,2009,,5524.31
Switzerland,2010,,6358.21
Switzerland,2011,,7017.79
Switzerland,2012,,7283.42
Switzerland,2013,,7101.95
Switzerland,2014,,7341.86
Switzerland,2015,,8559.54
Switzerland,2016,,8708.44
Switzerland,2017,,8674.09
Switzerland,2018,,8750.65
Switzerland,2019,,9179.6
Switzerland,2020,,9173.17
Switzerland,2021,,9338.89
Switzerland,2022,,10059.34
Türkiye,2008,,18222.78
Türkiye,2009,,15769.78
Türkiye,2010,,22340.66
Türkiye,2011,,21403.55
Türkiye,2012,,23148.97
Türkiye,2013,,26024.24
Türkiye,2014,,23839.13
Türkiye,2015,,26459.69
Türkiye,2016,,26534.3
Türkiye,2017,,24392.9
Türkiye,2018,,15967.52
Türkiye,2019,,15205.07
Türkiye,2020,,17501.83
Türkiye,2021,,12527.83
