Country,Year,Total - all NACE activities,"Agriculture, forestry and fishing",Mining and quarrying,Manufacturing,"Electricity, gas, steam and air conditioning supply","Water supply; sewerage, waste management and remediation activities",Construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Transportation and storage,Accommodation and food service activities,Information and communication,Financial and insurance activities,Real estate activities,"Professional, scientific and technical activities",Administrative and support service activities,Public administration and defence; compulsory social security,Education,Human health and social work activities,"Arts, entertainment and recreation",Other service activities,Activities of households as employers,Activities of extraterritorial organisations and bodies,GHG
Portugal,1996,43921535.98,1534600,503900,18201000,13550100,103100,1598900,2013000,4525643.19,154800,55700,46700,31600,104100,136400,663092.8,167200,354200,58200,119300,0,0,CO2
Romania,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovenia,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovakia,1996,37430795.83,195507.48,96449.23,21947180.98,7873513.14,254166.48,1656710.48,152102.32,3256589.3,158576.33,10988.38,1627.61,246804.93,495644.31,175672.99,339206.1,108913.46,180126.27,131414.58,149383.98,0,217.48,CO2
Finland,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Sweden,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Iceland,1996,2426545.59,843818.55,304.4,696733.35,86522.42,5237.34,146353.88,19899.97,544249.32,955.26,2164.04,41262.62,1766.98,2903.5,2779.47,4256.56,198.01,1069.03,576.2,911.12,0,24583.56,CO2
Norway,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Switzerland,1996,27102541.28,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Serbia,1996,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Türkiye,1996,168116814,8363319,1269981,80559005,46909105,118571,4802517,6674703,12841380,1774758,115013,243797,177414,397577,305553,1184801,987651,720100,94538,550826,21559,4646,CO2
European Union - 27 countries (from 2020),1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Belgium,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Bulgaria,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Czechia,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Denmark,1997,70497638.07,2825541.62,2116517.78,8412390.92,33792514.31,778703.76,924604.74,1234106.35,18757810.15,103345.66,135615.57,63443.16,87460.45,134122.8,132166.44,356874.07,171575.09,293488.66,81142.48,96214.05,0,0,CO2
Germany,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Estonia,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Ireland,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Greece,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Spain,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
France,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Croatia,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Italy,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Cyprus,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Latvia,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Lithuania,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Luxembourg,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Hungary,1997,49382856.62,1972454.3,259197.31,14423620.21,22432624.29,179507.91,344324.95,833917.38,5188197.17,165399.8,359888.49,313701.86,580984.38,364095.93,203722.23,767203.29,415321.22,316469.22,85306.71,176919.96,0,0,CO2
Malta,1997,2537157.86,15346.84,8176.31,93233.64,1613944.92,12021.01,32358.04,66838.88,408724.25,107641.73,4826.75,229,19412.11,13562.29,6881.81,8759.97,2780.96,70581.75,8831.61,43006,0,0,CO2
Netherlands,1997,152803255.36,10181900.85,2308229.26,47821399.93,48378019.08,1701419.88,3349972.64,4526884.53,24765807.34,904572.5,373435.99,673059.05,584199.27,853685.09,1770659.27,1665492.71,689292,1159099.77,490437.47,605688.74,0,0,CO2
Austria,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Poland,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Portugal,1997,46634625.72,1410800,374500,19609600,14180300,130800,1759100,2339600,4912169.06,232800,59300,46100,31100,109800,146000,470856.66,157900,359300,62400,242200,0,0,CO2
Romania,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovenia,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovakia,1997,37114189.34,203844.52,95676,21582003.32,7773305.04,216923.82,1726791.76,159678.16,3226042.9,168866.34,11659.85,1721.66,263137.73,528110.44,187317.53,361723.38,116086.64,191860.8,140050.42,159162.17,0,226.84,CO2
Finland,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Sweden,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Iceland,1997,2552768.63,825175.33,372.38,783662.57,70515.19,5294.75,179602.35,21241.55,575321.94,1016.36,2272.32,44994.99,1875.62,3119.33,3124.67,4896.65,209.08,1193.44,611.83,971.9,0,27296.38,CO2
Norway,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Switzerland,1997,26457324.71,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Serbia,1997,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Türkiye,1997,179292160,8644454,1525633,85682712,51682477,129992,5778410,6547807,12784411,1762809,112622,240228,175465,390399,296890,1162738,986764,722325,93703,546584,21352,4385,CO2
European Union - 27 countries (from 2020),1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Belgium,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Bulgaria,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Czechia,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Denmark,1998,70407505.05,2567183.01,2049039,8196368.21,30247758.38,783023.15,997773.51,1241043.69,22653209.59,110957.87,136409.61,54149.17,84395.59,137143.79,135265.29,395806.83,167579.92,276567.15,69800.69,104030.64,0,0,CO2
Germany,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Estonia,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Ireland,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Greece,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Spain,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
France,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Croatia,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Italy,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Cyprus,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Latvia,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Lithuania,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Luxembourg,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Hungary,1998,50625545.32,1943940.68,201673.05,13251882.21,24283191.69,186350.1,426612.54,894203.2,5741639.92,149400.18,386704.03,308719.29,566041.49,362177.61,205308.35,757010.34,405564.78,306105.42,80353.76,168666.67,0,0,CO2
Malta,1998,2529984.24,15971,6684.44,77152.98,1638781.23,12265.97,32102.05,67470.17,400022.13,104209.1,4873.21,231.06,18921.53,13872.08,7003.85,8936.6,2786.53,68360.68,8546.47,41793.17,0,0,CO2
Netherlands,1998,155162642,10102386.79,2342126.19,47638230.86,50144078.32,1786469.3,3431575.78,4527085.39,25529448.98,883821.26,370536.38,660553.28,570000.94,850885.7,1782574.01,1666616.57,670868.3,1130278.18,481551.17,593554.59,0,0,CO2
Austria,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Poland,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Portugal,1998,50651385.73,1413200,344100,19896100,16618000,156900,1915000,2873800,5297427.15,251400,74900,54400,39800,122300,172000,592558.58,120100,481600,66500,161300,0,0,CO2
Romania,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovenia,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovakia,1998,36786310.78,208250.82,95484.68,20690043.51,7742965.72,206410.33,2313320.14,171475.81,3276926.56,165325.22,12669.78,1865.11,256773.37,517522.16,184215.32,350999.54,113097.28,187418.98,136190.49,155113.6,0,242.35,CO2
Finland,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Sweden,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Iceland,1998,2571415.69,796123.71,380.96,770269.35,89565.89,4676.63,184718.9,21809.89,609910.95,1043.65,2334.21,46171.26,1926.11,3202.21,3203.69,5017.41,214.74,1223.85,628.3,997.92,0,27996.07,CO2
Norway,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Switzerland,1998,27798186.69,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Serbia,1998,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Türkiye,1998,183707242,8695932,1588892,85513924,56889192,117292,5943946,6248778,12441712,1698225,107351,229983,172927,372847,282307,1110114,952565,701628,89968,525082,20492,4085,CO2
European Union - 27 countries (from 2020),1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Belgium,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Bulgaria,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Czechia,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Denmark,1999,66877195.35,2612074.39,2791976.48,8163011.59,26947656.74,862202.21,1055723.4,1235897.46,21588362.15,94061.61,132204.34,50858.51,88493.69,136179.8,143725.56,370346.94,167387.22,261926.98,68489.81,106616.47,0,0,CO2
Germany,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Estonia,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Ireland,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Greece,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Spain,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
France,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Croatia,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Italy,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Cyprus,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Latvia,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Lithuania,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Luxembourg,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Hungary,1999,50519383.46,2074858.1,191193.98,12754886.52,24001969.26,191941.09,431703.12,901089.89,6045699.56,158750.71,443567.64,281957.26,626550.53,371662.61,224838.22,799819.94,428402.35,315057.08,94610.92,180824.65,0,0,CO2
Malta,1999,2565987.91,16826.3,7023.45,80058.81,1711929.12,12391.77,32796.18,64870.77,406581.64,83888.57,4688.63,221.78,15722.77,14003.49,6943.08,9116.89,2603.33,55144.13,6866.55,34310.65,0,0,CO2
Netherlands,1999,152411056.27,9843201.13,2193690.84,46479085.44,47101619.09,1877576.67,3582035.68,4603912.3,27138443.09,847514.69,360366.43,646605.11,546425.86,849067.8,1843389.75,1738358.01,640980.39,1077901.48,466127.05,574755.45,0,0,CO2
Austria,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Poland,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Portugal,1999,57944304.71,1463000,348200,20190800,22597400,334500,1922000,3115200,5705433.94,281400,82700,60100,42100,129800,185900,630770.76,114600,548800,65900,125700,0,0,CO2
Romania,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovenia,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovakia,1999,36135309.09,214821.67,98177.83,20088089.6,7821568.05,179210.27,2340998.14,169450.45,3177913.8,162359.94,12598.31,1849.12,252312.24,508606.9,181248.52,344660.74,111075.12,184122.06,133700.15,152309.17,0,237.01,CO2
Finland,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Sweden,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Iceland,1999,2877887.04,781079.48,424.25,921878.94,116256.28,4161.99,208544.03,22923.44,722589.87,1095.27,2434.5,49006.21,2019.19,3375.8,3446.55,5451,224.55,1312.63,658.76,1048.55,0,29955.75,CO2
Norway,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Switzerland,1999,27730937.47,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Serbia,1999,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Türkiye,1999,179412850,8998887,1269776,77723929,62018592,123546,4555936,6301435,12170581,1683954,108595,230337,188134,376079,292149,1119326,929380,690810,88901,517785,20279,4439,CO2
European Union - 27 countries (from 2020),2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Belgium,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Bulgaria,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Czechia,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Denmark,2000,66390968.88,2730201.06,2513859.6,7925490.24,23713739.13,880058.78,1058999.14,1190980.9,24845387.83,88716.57,131744.55,56877.22,95322.99,146383.87,151692.08,291753.47,151325.59,236779.61,67603.76,114052.5,0,0,CO2
Germany,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Estonia,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Ireland,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Greece,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Spain,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
France,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Croatia,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Italy,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Cyprus,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Latvia,2000,7098452.81,417113.15,164811.81,1478775.82,2372494.99,33478.97,196836.98,287228.13,1723847.19,17668.46,13478.29,12449.77,49108.32,30123.31,57674.73,124463.28,48865.31,48660.46,11193.41,10180.43,0,0,CO2
Lithuania,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Luxembourg,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Hungary,2000,47532947.78,1918132.45,231386.64,11736593,22066863.96,195954.79,506168.46,977126.38,5888711.56,159141.78,438043.06,287952.71,652679.72,380945.88,239270.42,817342.26,425251.1,328585.48,96192.55,186605.6,0,0,CO2
Malta,2000,2450301.67,17590.59,6960.12,79352.18,1604769.43,12528.51,33096.29,65277.58,399325.47,82708.92,4718.37,223.13,15563.01,14160.96,7008.49,9358.53,2611.72,54382.88,6768.32,33897.17,0,0,CO2
Netherlands,2000,155836569.69,10215029.96,2196891.08,46495154.28,48268160.85,2005357.15,4166268.66,4655204.7,28201753.05,851072.03,365964.35,650338.27,548191.88,861275.17,1898169.54,1687668.77,642427.29,1081330.96,468615.24,577696.47,0,0,CO2
Austria,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Poland,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Portugal,2000,56191155.73,1690400,377700,20311100,18913700,581800,2237900,3387600,6363266.79,289700,91800,54200,46000,125200,220000,617588.94,115600,518500,72400,176700,0,0,CO2
Romania,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovenia,2000,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,CO2
Slovakia,2000,34740440.63,185385.08,97175.29,19182842.93,7990961.51,161569.93,1837429.23,156976.17,3212795.48,151906.56,11691.35,1711.09,236403.79,476162.34,169771.64,323087.33,104048.09,172439.87,125235.5,142631.07,0,216.37,CO2
